VERBAL,MATH,GPA,YEAR
623.0,509.0,2.6,1.0
454.0,471.0,2.3,1.0
643.0,700.0,2.4,1.0
585.0,719.0,3.0,1.0
719.0,710.0,3.1,1.0
693.0,643.0,2.9,1.0
571.0,665.0,3.1,1.0
646.0,719.0,3.3,1.0
613.0,693.0,2.3,1.0
655.0,701.0,3.3,1.0
662.0,614.0,2.6,1.0
585.0,557.0,3.3,1.0
580.0,611.0,2.0,1.0
648.0,701.0,3.0,1.0
405.0,611.0,1.9,1.0
506.0,681.0,2.7,1.0
669.0,653.0,2.0,1.0
558.0,500.0,3.3,1.0
577.0,635.0,2.0,1.0
487.0,584.0,2.3,1.0
682.0,629.0,3.3,1.0
565.0,624.0,2.8,1.0
552.0,665.0,1.7,1.0
567.0,724.0,2.4,1.0
745.0,746.0,3.4,1.0
610.0,653.0,2.8,1.0
493.0,605.0,2.4,1.0
571.0,566.0,1.9,1.0
682.0,724.0,2.5,1.0
600.0,677.0,2.3,1.0
740.0,729.0,3.4,1.0
593.0,611.0,2.8,1.0
488.0,683.0,1.9,1.0
526.0,777.0,3.0,1.0
630.0,605.0,3.7,1.0
586.0,653.0,2.3,1.0
610.0,674.0,2.9,1.0
695.0,634.0,3.3,1.0
539.0,601.0,2.1,1.0
490.0,701.0,1.2,1.0
509.0,547.0,3.3,1.0
667.0,753.0,2.0,1.0
597.0,652.0,3.1,1.0
662.0,664.0,2.6,1.0
566.0,664.0,2.4,1.0
597.0,602.0,2.4,1.0
604.0,557.0,2.3,1.0
519.0,529.0,3.0,1.0
643.0,715.0,2.9,1.0
606.0,593.0,3.4,1.0
500.0,661.0,2.3,1.0
460.0,692.0,1.4,1.0
717.0,672.0,2.8,1.0
592.0,441.0,2.4,1.0
752.0,729.0,3.4,1.0
695.0,681.0,2.5,1.0
610.0,777.0,3.6,1.0
620.0,638.0,2.6,1.0
682.0,701.0,3.6,1.0
524.0,700.0,2.9,1.0
552.0,692.0,2.6,1.0
703.0,710.0,3.8,1.0
584.0,738.0,3.0,1.0
550.0,638.0,2.5,1.0
659.0,672.0,3.5,1.0
585.0,605.0,2.0,1.0
578.0,614.0,3.0,1.0
533.0,630.0,2.0,1.0
532.0,586.0,1.8,1.0
708.0,701.0,2.3,1.0
537.0,681.0,2.1,1.0
635.0,647.0,3.0,1.0
591.0,614.0,3.3,1.0
552.0,669.0,3.0,1.0
557.0,674.0,3.2,1.0
599.0,664.0,2.3,1.0
540.0,658.0,3.3,1.0
752.0,737.0,3.3,1.0
726.0,800.0,3.9,1.0
630.0,668.0,2.1,1.0
558.0,567.0,2.6,1.0
646.0,771.0,2.4,1.0
643.0,719.0,3.3,1.0
606.0,755.0,3.1,1.0
682.0,652.0,3.6,1.0
565.0,672.0,2.9,1.0
578.0,629.0,2.4,1.0
488.0,611.0,1.8,1.0
361.0,602.0,2.4,1.0
560.0,639.0,2.9,1.0
630.0,647.0,3.5,1.0
666.0,705.0,3.4,1.0
719.0,668.0,2.3,1.0
669.0,701.0,2.9,1.0
571.0,647.0,1.8,1.0
520.0,583.0,2.8,1.0
571.0,593.0,2.3,1.0
539.0,601.0,2.5,1.0
580.0,630.0,2.4,1.0
629.0,695.0,2.9,1.0
545.0,643.0,3.0,2.0
558.0,602.0,2.3,2.0
544.0,665.0,2.0,2.0
646.0,573.0,2.0,2.0
655.0,719.0,3.8,2.0
585.0,602.0,3.4,2.0
634.0,515.0,2.9,2.0
759.0,734.0,2.8,2.0
532.0,653.0,2.5,2.0
653.0,668.0,2.8,2.0
682.0,764.0,2.9,2.0
641.0,605.0,2.1,2.0
547.0,602.0,1.4,2.0
634.0,602.0,2.4,2.0
609.0,695.0,3.0,2.0
620.0,773.0,3.1,2.0
634.0,710.0,3.0,2.0
585.0,556.0,3.4,2.0
558.0,656.0,2.0,2.0
689.0,614.0,2.8,2.0
780.0,692.0,1.3,2.0
448.0,645.0,2.0,2.0
