LOCATION,TARSUS,WGHT
1.0,12.9,11.4
1.0,19.1,40.24
1.0,13.2,9.76
1.0,19.7,40.51
1.0,13.8,14.27
1.0,16.9,25.16
1.0,18.2,35.86
1.0,20.9,38.79
1.0,15.7,15.69
1.0,14.1,18.26
1.0,14.2,11.85
1.0,18.2,31.86
1.0,15.6,23.49
1.0,17.8,29.74
1.0,13.5,15.3
1.0,18.6,33.79
1.0,16.2,22.86
1.0,15.4,17.44
1.0,16.6,23.09
1.0,17.4,28.45
1.0,14.8,14.82
1.0,17.2,25.14
1.0,17.0,23.9
1.0,17.1,27.08
1.0,16.7,24.59
1.0,13.6,13.04
1.0,19.9,34.38
1.0,14.6,16.86
1.0,12.0,8.05
1.0,13.2,12.23
2.0,13.2,10.17
2.0,18.7,31.65
2.0,14.1,11.96
2.0,12.2,5.53
2.0,12.4,8.63
2.0,13.0,13.74
2.0,19.8,38.34
2.0,18.4,27.84
2.0,17.1,18.5
2.0,16.0,23.69
2.0,18.8,34.22
2.0,16.6,22.81
2.0,16.0,19.23
2.0,18.7,31.42
2.0,23.6,51.58
2.0,16.1,25.88
2.0,15.3,20.22
2.0,16.0,22.83
2.0,14.9,14.1
2.0,16.0,22.9
2.0,17.5,28.56
2.0,18.5,36.7
2.0,18.1,29.43
2.0,17.8,27.36
2.0,12.0,6.29
2.0,18.3,32.51
2.0,16.5,20.55
2.0,18.3,28.93
2.0,14.5,9.92
2.0,19.4,38.15
