CACONC2,DISC2,LEAF2,PLANT2
1.6647,1.0,1.0,1.0
2.0276,2.0,1.0,1.0
2.2036,1.0,2.0,1.0
2.2238,2.0,2.0,1.0
1.9945,1.0,3.0,1.0
1.9045,2.0,3.0,1.0
1.9579,1.0,1.0,2.0
1.7441,2.0,1.0,2.0
2.4959,1.0,2.0,2.0
2.557,2.0,2.0,2.0
1.8732,1.0,3.0,2.0
1.9046,2.0,3.0,2.0
2.2992,1.0,1.0,3.0
2.6597,2.0,1.0,3.0
2.7374,1.0,2.0,3.0
2.9178,2.0,2.0,3.0
2.8447,1.0,3.0,3.0
2.4489,2.0,3.0,3.0
2.6918,1.0,1.0,4.0
2.7402,2.0,1.0,4.0
3.3845,1.0,2.0,4.0
2.851,2.0,2.0,4.0
2.2435,1.0,3.0,4.0
2.7079,2.0,3.0,4.0
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
