HEIGHT,VOLUME,DIAM
70.0,10.3,0.6917
65.0,10.3,0.7167
63.0,10.2,0.7333
72.0,16.4,0.875
81.0,18.8,0.8917
83.0,19.7,0.9
66.0,15.6,0.9167
75.0,18.2,0.9167
80.0,22.6,0.925
75.0,19.9,0.9333
79.0,24.2,0.9417
76.0,21.0,0.95
76.0,21.4,0.95
69.0,21.3,0.975
75.0,19.1,1.0
74.0,22.2,1.075
85.0,33.8,1.075
86.0,27.4,1.1083
71.0,25.7,1.1417
64.0,24.9,1.15
78.0,34.5,1.1667
80.0,31.7,1.1833
74.0,36.3,1.2083
72.0,38.3,1.3333
77.0,42.6,1.3583
81.0,55.4,1.4417
82.0,55.7,1.4583
80.0,58.3,1.4917
80.0,51.5,1.5
80.0,51.0,1.5
87.0,77.0,1.7167
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
