SVL,CREST,POND,DATE,LSVL,LCREST
108.9,10.12,4.0,27.0,2.037,1.005
94.7,5.62,7.0,37.0,1.976,0.75
96.9,2.0,7.0,28.0,1.986,0.302
110.1,15.04,10.0,24.0,2.042,1.177
103.7,3.88,6.0,9.0,2.016,0.589
99.3,4.45,8.0,12.0,1.997,0.648
95.5,2.34,7.0,32.0,1.98,0.37
109.8,18.02,6.0,16.0,2.041,1.256
107.9,17.39,7.0,15.0,2.033,1.24
100.7,5.9,2.0,25.0,2.003,0.771
92.4,2.77,3.0,1.0,1.966,0.443
89.9,6.35,8.0,26.0,1.954,0.803
97.9,3.37,4.0,6.0,1.991,0.527
109.4,4.59,7.0,32.0,2.039,0.662
108.8,12.55,2.0,21.0,2.037,1.099
90.0,1.8,3.0,10.0,1.954,0.255
93.9,4.8,2.0,41.0,1.973,0.682
91.8,4.84,6.0,38.0,1.963,0.685
93.4,7.31,2.0,25.0,1.97,0.864
111.4,23.13,4.0,14.0,2.047,1.364
97.7,5.83,9.0,6.0,1.99,0.766
106.8,8.93,7.0,37.0,2.028,0.951
111.7,7.18,4.0,5.0,2.048,0.856
87.6,6.21,6.0,34.0,1.942,0.793
111.8,9.19,6.0,31.0,2.049,0.964
98.9,9.58,4.0,26.0,1.995,0.981
106.2,2.86,10.0,3.0,2.026,0.457
88.9,2.14,5.0,14.0,1.949,0.33
112.3,3.15,4.0,5.0,2.05,0.498
90.4,3.22,9.0,1.0,1.956,0.508
103.9,5.77,5.0,20.0,2.017,0.761
106.7,15.42,5.0,6.0,2.028,1.188
111.8,7.12,8.0,25.0,2.048,0.852
105.1,8.03,9.0,11.0,2.021,0.905
103.8,6.38,1.0,17.0,2.016,0.805
95.7,8.02,2.0,17.0,1.981,0.904
91.8,3.33,10.0,40.0,1.963,0.523
89.7,3.39,6.0,7.0,1.953,0.53
100.9,11.47,8.0,7.0,2.004,1.06
100.8,9.73,10.0,41.0,2.003,0.988
88.0,9.37,7.0,38.0,1.945,0.972
93.6,4.65,7.0,2.0,1.971,0.667
89.5,4.28,9.0,11.0,1.952,0.632
104.7,7.77,3.0,13.0,2.02,0.89
92.2,3.28,2.0,22.0,1.965,0.516
105.3,24.45,10.0,36.0,2.022,1.388
88.8,3.18,2.0,4.0,1.948,0.502
104.5,7.84,5.0,17.0,2.019,0.894
92.7,4.09,3.0,25.0,1.967,0.612
89.6,4.13,4.0,9.0,1.952,0.616
96.4,6.12,9.0,36.0,1.984,0.787
95.9,2.16,6.0,25.0,1.982,0.335
96.7,3.65,7.0,44.0,1.985,0.562
109.6,5.52,7.0,11.0,2.04,0.742
91.9,4.73,10.0,18.0,1.963,0.675
100.3,5.4,9.0,41.0,2.001,0.732
91.6,2.7,7.0,42.0,1.962,0.431
110.3,8.94,5.0,23.0,2.043,0.952
98.3,10.31,7.0,22.0,1.993,1.013
107.3,12.86,5.0,21.0,2.031,1.109
103.7,3.61,8.0,31.0,2.016,0.557
112.4,7.89,3.0,24.0,2.051,0.897
105.0,12.25,10.0,44.0,2.021,1.088
93.1,6.31,7.0,28.0,1.969,0.8
90.8,4.94,1.0,21.0,1.958,0.694
100.6,8.36,8.0,45.0,2.003,0.922
97.2,17.96,4.0,17.0,1.988,1.254
99.1,5.66,10.0,13.0,1.996,0.753
100.1,6.47,6.0,10.0,2.0,0.811
89.5,1.89,5.0,35.0,1.952,0.276
94.8,5.12,7.0,34.0,1.977,0.709
94.3,2.51,8.0,13.0,1.974,0.4
110.3,25.94,6.0,8.0,2.043,1.414
99.3,3.09,7.0,20.0,1.997,0.491
112.4,24.05,7.0,36.0,2.051,1.381
110.8,15.84,7.0,5.0,2.044,1.2
98.1,7.09,7.0,15.0,1.992,0.85
93.2,2.8,10.0,28.0,1.969,0.447
88.7,4.28,10.0,11.0,1.948,0.631
106.7,6.49,6.0,23.0,2.028,0.812
98.4,5.04,8.0,13.0,1.993,0.702
104.0,7.1,5.0,37.0,2.017,0.851
105.3,5.8,7.0,36.0,2.022,0.764
99.4,10.59,1.0,33.0,1.997,1.025
102.8,6.96,2.0,26.0,2.012,0.843
91.4,1.32,5.0,26.0,1.961,0.12
91.6,9.19,7.0,29.0,1.962,0.963
