WATER,FINALHT,INITHT
1.0,4.81,4.64
1.0,2.16,2.15
1.0,4.85,4.68
1.0,2.04,2.03
1.0,4.29,4.16
1.0,5.35,5.16
1.0,6.73,6.46
1.0,5.19,5.0
1.0,2.87,2.82
1.0,8.04,7.68
2.0,6.76,6.26
2.0,4.13,3.85
2.0,6.84,6.34
2.0,6.72,6.22
2.0,4.66,4.34
2.0,7.22,6.69
2.0,3.67,3.43
2.0,7.27,6.72
2.0,4.84,4.5
2.0,4.82,4.49
3.0,6.86,6.06
3.0,5.1,4.63
3.0,5.12,4.65
3.0,4.46,4.11
3.0,4.3,3.98
3.0,6.6,5.85
3.0,8.08,7.05
3.0,5.79,5.19
3.0,5.15,4.67
3.0,5.99,5.35
4.0,6.14,5.89
4.0,6.35,6.08
4.0,6.49,6.22
4.0,4.72,4.57
4.0,6.62,6.33
4.0,6.35,6.08
4.0,6.03,5.78
4.0,7.57,7.22
4.0,3.41,3.35
4.0,8.07,7.68
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
