BED,WATER,SHADE,BLOOMS
1.0,1.0,1.0,0.0
1.0,1.0,2.0,0.0
1.0,1.0,3.0,111.04
1.0,2.0,1.0,183.47
1.0,2.0,2.0,59.16
1.0,2.0,3.0,76.75
1.0,3.0,1.0,224.97
1.0,3.0,2.0,83.77
1.0,3.0,3.0,134.95
2.0,1.0,1.0,80.1
2.0,1.0,2.0,85.95
2.0,1.0,3.0,19.87
2.0,2.0,1.0,213.13
2.0,2.0,2.0,124.99
2.0,2.0,3.0,65.48
2.0,3.0,1.0,361.66
2.0,3.0,2.0,197.13
2.0,3.0,3.0,134.93
3.0,1.0,1.0,10.02
3.0,1.0,2.0,47.69
3.0,1.0,3.0,106.75
3.0,2.0,1.0,246.0
3.0,2.0,2.0,135.92
3.0,2.0,3.0,90.66
3.0,3.0,1.0,304.52
3.0,3.0,2.0,249.33
3.0,3.0,3.0,134.59
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
