TRIPID,YEAR,MONTH,DAY,NPASS,CLOUD8AM,RAIN8AM,VIS8AM,RAIN,NGWHAL,DURNAZ,DURNTOT,VIS,RGWHAL,LRGWHAL
1.0,1.0,6.0,10.0,91.0,2.0,1.0,0.10000000149011612,0.0,0.0,117.0,191.0,0.10000000149011612,0.0,-4.605170249938965
2.0,1.0,8.0,15.0,65.0,6.0,0.0,1.0,1.0,0.0,88.0,156.0,1.0,0.0,-4.605170249938965
3.0,1.0,7.0,21.0,63.0,4.0,0.0,10.0,0.0,2.0,81.0,150.0,5.0,0.02469135820865631,-3.361264705657959
4.0,1.0,6.0,26.0,41.0,0.0,0.0,10.0,0.0,3.0,68.0,133.0,10.0,0.04411764815449715,-2.916594982147217
5.0,1.0,7.0,3.0,52.0,5.0,0.0,1.0,0.0,0.0,109.0,177.0,0.10000000149011612,0.0,-4.605170249938965
6.0,1.0,9.0,6.0,57.0,1.0,0.0,10.0,0.0,2.0,142.0,198.0,10.0,0.014084506779909134,-3.726186513900757
7.0,1.0,7.0,5.0,78.0,4.0,0.0,5.0,0.0,2.0,123.0,186.0,10.0,0.016260161995887756,-3.639702320098877
8.0,1.0,5.0,23.0,63.0,0.0,0.0,10.0,0.0,2.0,106.0,173.0,10.0,0.01886792480945587,-3.5450241565704346
9.0,1.0,6.0,12.0,41.0,2.0,0.0,1.0,0.0,0.0,92.0,144.0,1.0,0.0,-4.605170249938965
10.0,1.0,6.0,20.0,31.0,1.0,1.0,5.0,0.0,0.0,89.0,141.0,5.0,0.0,-4.605170249938965
11.0,1.0,7.0,11.0,53.0,3.0,1.0,1.0,1.0,0.0,61.0,136.0,1.0,0.0,-4.605170249938965
12.0,1.0,6.0,6.0,41.0,1.0,0.0,10.0,0.0,2.0,132.0,194.0,10.0,0.01515151560306549,-3.6828372478485107
13.0,1.0,7.0,29.0,49.0,1.0,0.0,1.0,0.0,0.0,61.0,116.0,1.0,0.0,-4.605170249938965
14.0,1.0,6.0,12.0,46.0,1.0,0.0,1.0,0.0,0.0,74.0,144.0,1.0,0.0,-4.605170249938965
15.0,1.0,6.0,30.0,92.0,1.0,0.0,5.0,0.0,0.0,69.0,129.0,1.0,0.0,-4.605170249938965
