BLOCK,TRTMT,SOWRATE,VARIETY,YIELD
1.0,1.0,1.0,1.0,8.819
1.0,2.0,2.0,1.0,7.826
1.0,3.0,3.0,1.0,8.341
1.0,4.0,4.0,1.0,8.818
1.0,5.0,1.0,2.0,8.527
1.0,6.0,2.0,2.0,7.762
1.0,7.0,3.0,2.0,8.53
1.0,8.0,4.0,2.0,8.99
2.0,1.0,1.0,1.0,8.492
2.0,2.0,2.0,1.0,8.644
2.0,3.0,3.0,1.0,8.95
2.0,4.0,4.0,1.0,9.815
2.0,5.0,1.0,2.0,8.166
2.0,6.0,2.0,2.0,7.331
2.0,7.0,3.0,2.0,8.187
2.0,8.0,4.0,2.0,10.154
3.0,1.0,1.0,1.0,8.487
3.0,2.0,2.0,1.0,8.846
3.0,3.0,3.0,1.0,8.715
3.0,4.0,4.0,1.0,10.273
3.0,5.0,1.0,2.0,7.045
3.0,6.0,2.0,2.0,8.128
3.0,7.0,3.0,2.0,7.875
3.0,8.0,4.0,2.0,8.152
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
