grptype	season
Solitary.Bull	Dry
Solitary.Bull	Dry
Solitary.Bull	Dry
Solitary.Bull	Dry
Solitary.Bull	Dry
Solitary.Bull	Dry
Solitary.Bull	Dry
Solitary.Bull	Dry
Solitary.Bull	Dry
Solitary.Bull	Dry
Solitary.Bull	Dry
Solitary.Bull	Dry
Solitary.Bull	Dry
Solitary.Bull	Dry
Solitary.Bull	Dry
Solitary.Bull	Dry
Solitary.Bull	Dry
Solitary.Bull	Dry
Solitary.Bull	Dry
Solitary.Bull	Dry
Solitary.Bull	Dry
Solitary.Bull	Dry
Solitary.Bull	Dry
Solitary.Bull	Dry
Solitary.Bull	Dry
Solitary.Bull	Dry
Solitary.Bull	Dry
Solitary.Bull	Dry
Solitary.Bull	Dry
Solitary.Bull	Dry
Solitary.Bull	Dry
Solitary.Bull	Dry
Solitary.Bull	Dry
Solitary.Bull	Dry
Solitary.Bull	Dry
Solitary.Bull	Dry
Solitary.Bull	Dry
Solitary.Bull	Dry
Solitary.Bull	Dry
Solitary.Bull	Dry
Solitary.Bull	Dry
Solitary.Bull	Dry
Solitary.Bull	Dry
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Solitary.Bull	Wet
Bull.Group	Dry
Bull.Group	Dry
Bull.Group	Dry
Bull.Group	Dry
Bull.Group	Wet
Bull.Group	Wet
Bull.Group	Wet
Bull.Group	Wet
Bull.Group	Wet
Bull.Group	Wet
Bull.Group	Wet
Bull.Group	Wet
Bull.Group	Wet
Bull.Group	Wet
Bull.Group	Wet
Bull.Group	Wet
Bull.Group	Wet
Bull.Group	Wet
Bull.Group	Wet
Bull.Group	Wet
Bull.Group	Wet
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Dry
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group	Wet
Family.Group.with.Bull(s)	Dry
Family.Group.with.Bull(s)	Dry
Family.Group.with.Bull(s)	Dry
Family.Group.with.Bull(s)	Dry
Family.Group.with.Bull(s)	Dry
Family.Group.with.Bull(s)	Dry
Family.Group.with.Bull(s)	Dry
Family.Group.with.Bull(s)	Wet
Family.Group.with.Bull(s)	Wet
Family.Group.with.Bull(s)	Wet
Family.Group.with.Bull(s)	Wet
Family.Group.with.Bull(s)	Wet
Family.Group.with.Bull(s)	Wet
Family.Group.with.Bull(s)	Wet
Family.Group.with.Bull(s)	Wet
