shtwgt	regime	sex	cutdiam
0.84	1	1	0.83
0.45	1	1	1.26
0.66	1	1	1.33
1.17	1	1	0.72
0.63	1	1	0.8
0.69	1	2	1.02
0.05	1	2	0.98
0.22	1	2	1.2
0.55	1	2	1.12
1.7	1	1	1.04
0.8	1	1	1
1.1	1	1	0.9
1.11	1	1	0.94
0.83	1	1	0.95
0.44	1	2	1.3
0.78	1	2	1.03
0.26	1	2	0.82
0.73	2	1	0.95
2.26	2	1	0.9
1.08	2	1	0.98
1.7	2	1	0.82
0.2	2	2	1.05
0.74	2	2	0.98
1.15	2	2	1
1.03	2	1	0.92
2.11	2	1	0.7
0.86	2	1	1.1
1.18	2	1	1.01
1.05	2	1	0.93
0.57	2	2	0.93
0.86	2	2	1.16
2.19	2	2	0.7
0.84	2	2	0.87
0.34	3	1	1.05
0.73	3	1	1.06
1.06	3	1	1.01
0.36	3	1	1.35
0.37	3	1	1.11
0.45	3	2	1.07
0.56	3	2	1.25
0.68	3	1	1.03
0.36	3	1	1.35
0.87	3	1	0.8
0.52	3	1	1.03
1.07	3	2	0.87
0.2	3	2	1
0.51	3	2	1.13
0.56	3	2	0.97
0.7	4	1	1.02
0.5	4	1	1.18
0.61	4	1	1.17
0.5	4	1	1
1.02	4	1	0.7
1.01	4	2	0.99
0.79	4	2	0.7
0.34	4	1	1.37
1	4	1	1.07
0.93	4	1	0.96
1.05	4	1	1.01
0.92	4	1	0.82
0.47	4	2	1.4
0.47	4	2	0.82
0.45	4	2	0.86
