MothID,Eggs
1,3
2,5
3,1
4,1
5,2
6,1
7,1
8,0
9,2
10,2
11,3
12,3
13,3
14,3
15,2
16,1
17,3
18,2
19,2
20,1
21,2
22,1
23,3
24,0
25,3
26,2
27,1
28,4
29,5
30,6
31,2
32,1
33,1
34,1
35,1
36,3
37,0
38,2
39,3
40,2
41,2
42,2
43,4
44,2
45,1
46,1
47,4
48,5
49,0
50,0
51,3
52,2
53,1
54,4
55,4
56,1
57,1
58,2
59,0
60,1
61,1
62,0
63,1
64,1
65,1
66,2
67,3
68,3
69,3
70,3
71,2
72,0
73,0
74,4
75,3
76,1
77,2
78,3
79,0
80,3
81,4
82,2
83,3
84,4
85,1
86,4
87,3
88,1
89,2
90,0
91,1
92,1
93,1
94,3
95,4
96,1
97,1
98,1
99,1
100,10
101,4
102,1
103,6
104,2
105,1
106,3
107,1
108,2
109,4
110,1
111,1
112,6
113,3
114,1
115,0
116,7
117,2
118,1
119,10
120,4
121,4
122,5
123,0
124,1
125,6
126,2
127,5
128,1
129,1
130,2
131,2
132,15
133,1
134,6
135,2
136,4
137,2
138,2
139,5
140,2
141,2
142,1
143,4
144,0
145,1
146,1
147,1
148,2
149,1
150,4
151,6
152,2
153,2
154,3
155,8
156,1
157,3
158,2
159,1
160,3
161,0
162,1
163,1
164,0
165,1
166,3
167,2
168,4
169,1
170,1
171,3
172,1
173,3
174,1
175,2
176,1
177,2
178,1
179,2
180,2
181,2
182,3
183,1
184,1
185,2
186,5
187,3
188,1
189,1
190,5
191,1
192,1
193,3
194,5
195,2
196,1
197,4
198,6
199,1
200,5
201,3
202,2
203,1
204,3
205,3
206,3
207,5
208,0
209,0
210,0
211,1
212,5
213,2
214,3
215,3
216,1
217,3
218,4
219,2
220,2
221,3
222,2
223,1
224,6
225,2
226,0
227,2
228,8
229,0
230,1
231,4
232,1
233,1
234,1
235,3
236,4
237,5
238,1
239,1
240,6
241,4
242,2
