Stems,Type
702,near
676,near
639,near
601,near
600,near
605,near
581,near
555,near
535,near
531,near
466,near
437,near
423,near
380,near
376,near
362,near
350,near
349,near
346,near
337,near
320,near
317,near
310,near
285,near
271,near
265,near
250,near
450,near
441,near
436,near
432,near
420,near
419,near
407,near
470,far
309,far
236,far
241,far
320,far
325,far
352,far
275,far
181,far
250,far
266,far
338,far
339,far
395,far
252,far
215,far
228,far
267,far
294,far
356,far
418,far
425,far
495,far
648,far
384,far
393,far
407,far
427,far
445,far
451,far
493,far
502,far
540,far
590,far
